author|title|content
marca.com|Una ballena se zampa a un buzo y luego lo escupe vivo|El buceador Rainer Schimpf estaba intentando documentar a los tiburones y delfines que rondaban un enorme banco de sardinas en Port Elizabeth (Sudáfrica) cuando una enorme ballena lo succionó tal Jonás.  La ballena atrapó entre sus fauces al aterrorizado Schi… [+587 chars]
Marca Básket|Va de retornos: Tras la vuelta de Zidane al Real Madrid, Pedro Martínez regresa al Gran Canaria|El día que se anunció oficialmente el regreso de Zinedine Zidane como entrenador del primer equipo de fútbol del Real Madrid, el Herbalife Gran Canaria hizo lo propio e informó de otro retorno sonado, pero en el mundo de baloncesto. Por tercera vez en su tray… [+1666 chars]
marca.com|Dominik Paris, un italiano en busca del trono mundial de la velocidad en Grandvalira|Paris en el Descenso del mundial.  EFE  Finales de la Copa del Mundo Andorra 2019: Horario y dónde ver por televisión en directo  Dominik Paris tanteaba ayer la pista Áliga de El Tarter en Grandvalira dónde esta semana puede escribir una página brillante en s… [+1660 chars]
Miguel Á. Morán|Volver a ganarle al Barça, un gran reto para Bartra y el Betis|Bartra, frente a Messi  Francesc AdelantadoMARCA  Desde la temporada 2007-08 ningún equipo ha logrado ganarle al Barcelona los dos partidos de Liga la misma temporada. Más de una década desde que Villarreal y Real Madrid lograran conquistar el Camp Nou e impo… [+2076 chars]
Antonio Martín (Efe)|El mejor reserva de la historia tritura a unos irreconocibles y grises Celtics|Montaje con Lou Williams  @BleacherReport  Los Clippers demostraron una vez más que vuelven a ser el equipo más competitivo de Los Ángeles y trituraron esta noche a los Boston Celtics por 140-112, de modo que ascienden a la sexta plaza del Oeste superando a l… [+4649 chars]
Arch Bell|Hasta Giannis Antetokounmpo rinde pleitesía al recién llegado Pau Gasol|Pau Gasol habla con Giannis Antetokounmpo en un tiempo muerto  EFE  Toda la organización de los Milwaukee Bucks ha recibido a Pau Gasol con los brazos abiertos. En un equipo en el que la mayoría de jugadores destacados son bastante jóvenes, la llegada de un j… [+2714 chars]
Darío Puig|La fe en el gol de Ferran tras recorrer 11,4 kilometros|Ferran dispara tras salvar a Bono y marca el gol de la victoria del Valencia.  EFE  El gol de Ferran en el minuto 89, y que supuso la victoria del Valencia en Girona, tiene que ser un acto de fe para el propio futbolista y creer definitivamente en sus posibil… [+1039 chars]
Arch Bell|"Pau Gasol: ""Voy a disfrutar esta oportunidad, lucharemos por algo especial"""|Pau Gasol durante el calentamiento en su regreso a San Antonio  EFE  Sólo estuvo en San Antonio dos años y medio, pero no hay duda que todavía existe mucho cariño entre Pau Gasol y los Spurs. El pasado en el AT&amp;T Center el nuevo jugador de los Bucks volvi… [+3254 chars]
Álvaro Roca, Ainhoa Sánchez|Zidane vuelve al Madrid pero, ¿qué fue de los otros entrenadores de Florentino Pérez?|Oficial: Zinedine Zidane vuelve como entrenador del Real Madrid 284 días después  La destitución de Solari y la vuelta de Zidane al Real Madrid añaden un nombre más a la lista de entrenadores que han ocupado el banquillo blanco con Florentino Pérez en la pres… [+4487 chars]
Jaime Martín|"""El dúo Dovizioso-Petrucci funciona"""|"Domenicali celebra con Dovizioso el triunfo en el GP de Qatar.  EFE  La alegría en el box del conjunto Ducati en Losail era contenida. Los gritos de ""Dovi, Dovi, Dovi"" se apagaron al conocer la reclamación puesta contra ellos por cuatro fábricas. Con todo, co… [+2213 chars]"
Jaime Rincón|La Premier: lugar para reivindicarse|El sello español cotiza al alza en la Premier League. Los equipos punteros cuentan con al menos algún futbolista español que forma parte de su columna vertebral o incluso son dirigidos, como el caso del Arsenal, por un técnico patrio. A los De Gea, David Silv… [+2654 chars]
Alejandro Segura|"Manu García: ""Si el Lyon tiene el día, es la bomba"""|Manu García, en un partido con el Toulouse.  AFP  Manu García (2/1/1998, Oviedo) es uno de esos jugadores jóvenes amantes del balón que ve y estudia todo el fútbol posible y que necesita salir de su zona de confort para crecer como futbolista. De bien joven y… [+5398 chars]
Efe|Schroder y Westbrook aprovechan la baja de Ricky Rubio para barrer a Utah|Westbrook intenta pasar la defensa de O'Neale  Efe  Los bases Dennis Schroder y Russell Westbrook se combinaron para marcar 47 puntos que permitieron a los Thunder de Oklahoma City vencer a domicilio por 89-98 a los Jazz de Utah en la lucha entre equipos de l… [+3266 chars]
Ramiro Aldunate|Para el Barça, pasar a cuartos no será un problema de goles|El Barça marca un gol a la Roma en la eliminatoria de cuartos del curso pasado.  AFP  Si hay algo que tiene clarísimo el Barcelona en esta eliminatoria de Liga de Campeones es que, si no marca, no pasará a cuartos de final. El resultado del encuentro de ida (… [+2996 chars]
David G. Medina|Morata, como en casa|Morata celebra un título de Copa con la Juve  AFP  Los 26 años que marcan el DNI de Morata no le impiden haber militado en cuatro de los mejores equipos de Europa, una aristocracia en la que se siente cómodo. Canterano del Real Madrid, llegó al primer equipo … [+1644 chars]
David G. Medina|A Griezmann le toca bailar|Griezmann festeja su gol al Arsenal con el baile del fortnite.  Ángel Rivero  Antoine Griezmann es uno más de los millones de locos del fortnite, el juego de moda entre jóvenes... y no tan jóvenes. La diferencia con el resto de los mortales es que el francés … [+3016 chars]
David G. Medina|Al Atlético le alcanza el 2-0|Koke marca al Sporting de Portugal en el último 2-0 europeo.  Ángel Rivero  La relajación y la confianza en que la ventaja de la ida resulta suficiente para pasar la eliminatoria serían el gran enemigo del Atlético en la cita de esta noche. Sin embargo, más a… [+1764 chars]
Pablo Egea|Giménez, el tapado para el 'cuatrivote'|Saúl, Rodrigo y Giménez, en un entrenamiento.  José Antonio García  La ausencia de Thomas para la cita de mañana es uno de los grandes quebraderos de cabeza para Simeone. Buscar un compañero a Rodrigo no será algo sencillo teniendo en cuenta los efectivos con… [+1989 chars]
Lorena González|Solari se marcha del Madrid con la conciencia tranquila|Solari, en su último partido al frente del Madrid en Valladolid.  Chema Rey  Así se gestó el regreso de Zidane  Santi Solari y su cuerpo técnico abandonan el club con la conciencia tranquila de quien lo ha intentado hasta el último día, tomando decisiones arr… [+1938 chars]
Efe|Nets vs Pistons: José Manuel Calderón se pierde la peor versión de los 'Bad Boys'|Dinwiddie entra a canasta ante Drummond  Efe  El base reserva Spencer Dinwiddie aportó 19 puntos y encabezó la lista de siete jugadores de los Nets de Brooklyn que tuvieron números de dos dígitos en el partido que ganaron por paliza de 103-75 a los Pistons de… [+2946 chars]
José Félix Díaz|¿Qué ha cambiado en el Real Madrid para que Zidane vuelva nueve meses después?|Zidane observa desde su silla cómo Florentino le da la bienvenida.  EFE  Es la gran pregunta. ¿Qué ha podido cambiar para que Zidane se marchara el pasado 31 de mayo y regrese el 11 de marzo si la misma persona que en su momento pidió que se quedara, ha sido … [+4238 chars]
Efe|Marc Gasol e Ibaka no evitan que un novato haga saltar la banca en la NBA|"Marc Gasol se dirige al banquillo de los Raptors  @Raptors  El base novato Collin Sexton, el jugador al que sus compañeros acusaron al principio de temporada de ""no saber jugar"", surgió como el líder encestador de los Cavaliers de Cleveland al aportar 28 punt… [+3123 chars]"
marca.com|Arrestan en Miami a Conor McGregor por destrozar y robar el móvil de un aficionado|Imagen de la ficha policial de Conor McGregor ofrecida por la Policía de Miami   El boxeador irlandés de artes marciales mixtas Conor McGregor fue arrestado este lunes en Miami Beach, acusado de robo y conducta criminal por pisotear y llevarse el teléfono móv… [+2361 chars]
Efe|El imparable Harden sostiene la mejor racha de la NBA ante el titular Willy Hernangómez|Willy Hernangómez pasa el balón ante los Rockets  @Hornets  El escolta estrella James Harden con un doble-doble de 28 puntos y 10 asistencias volvió a ser el líder del ataque de los Rockets de Houston que se impusieron por 118-106 a los Hornets de Charlotte y… [+3758 chars]
marca.com|Ibaka y Chriss se lían a puñetazos en la pelea más salvaje del año en la NBA|El internacional español Serge Ibaka y el jugador de los Cleveland Cavaliers Marquese Chriss no pudieron terminar el choque que enfrentaba a los Cavs y a los Toronto Raptors después de enzarzarse a puñetazos en la peor pelea de la temporada en la NBA.  Ibaka … [+963 chars]
marca.com|Arsenal join the hunt for Tagliafico|Nicolas Tagliafico   Having shone for Ajax in their historical 4-1 win at the Estadio Santiago Bernabeu and all season, Nicolas Tagliafico is of interest to Premier League side Arsenal.  The Argentine has a number of suitors, with the Gunners being just the l… [+934 chars]
David Menayo|Espectacular puesta en escena de Nike en la presentación de sus camisetas mundialistas|Nike presenta sus camisetas para el Mundial de Francia 2019  Nike Football  El Palais Brongniart de París fue la sede elegida por la multinacional americana Nike para presentar las camisetas de las 14 selecciones que tendrá compitiendo en el Mundial de Franci… [+1503 chars]
Radio MARCA|"Esteban Granero: ""La afición del Real Madrid debe estar contenta con el regreso de Zidane"""|Esteban Granero junto a Jose Luis Escarabajano   Esteban Granero fue protagonista en Marcador durante la celebración de la VI Cena Pirata, este año orientada a recaudar fondos para la Fundación CRIS contra el cáncer, una organización independiente, sin ánimo … [+1043 chars]
marca.com|El primer mensaje de Marcelo tras lo de Solari y Zidane es para... Tom Brady|En un día en el que los jugadores del Real Madrid se despedían de Solari o daban la bienvenida a Zidane, Marcelo sorprendió con un mensaje en su cuenta de instagram en el que agradecía al mito del fútbol americano Tom Brady el envío de una de sus camisetas fi… [+6 chars]
Juan Ignacio García-Ochoa|Que la lealtad de Zidane por el Madrid sea también la del Madrid por Zidane, pase lo que pase...|"Zidane, en su presentación como entrenador del Real Madrid.  AFP  Jamás pitaré a Zinedine Zidane. Jamás pitaré a Zinedine Zidane. Jamás pitaré a Zinedine Zidane"". Si yo fuera aficionado del Real Madrid, me repetiría esta frase como un mantra antes cada partid… [+2292 chars]"
marca.com|"Casillas compara el regreso de Zidane con la película de ""Regreso al Futuro II"""|Iker Casillas fue otro de los que se sumó a los mensajes de optimismo tras el regreso de Zinedine Zidane. El ahora portero del Oporto comparó la vuelta del técnico francés con la famosa película de Regreso al Futuro, aludiendo a que segundas partes sí pueden … [+308 chars]
marca.com|Frenkie De Jong comienza sus clases de español: el área de meta, el futbolista...|Frenkie De Jong ya piensa en azulgrana. A pesar de estar centrado en el Ajax y en su ilusionante aventura en la Champions League, el centrocampista holandés sabe que la presión en el Barcelona es máxima y la exigencia obliga a un periodo de adaptación lo más … [+769 chars]
marca.com|El gesto deportivo de Messi: pidió al árbitro que no se consultase el VAR|Leo Messi nunca se ha caracterizado por fingir en un terreno de juego. No suele dejarse caer ni exagerar las numerosas faltas que recibe a lo largo de los partidos. En ese sentido, el argentino es un jugador ejemplar. Ante el Rayo dejó un detalle de 'fair pla… [+546 chars]
Miguel Á. Morán|El repaso de Bartra a la actualidad del Betis: Jesé, Tello, Europa...|Bartra, celebrando una victoria  Kiko HurtadoMARCA  Durante la entrevista que ha concedido al programa Heliópolis, de Betis TV, Marc Bartra ha repasado la actualidad de su equipo al detalle, parándose en algunos nombres propios como el de Jesé Rodríguez, que … [+6647 chars]
marca.com|Florentino Perez jokes: Zidane is French, so he could do something with Mbappe|Florentino and Granero  Chema ReyMARCA  Florentino Perez left the Estadio Santiago Bernabeu in good form on Monday evening after confirming Zinedine Zidane's return to the Real Madrid bench and the president even hinted at a possible big-name arrival.  Zidane… [+942 chars]
marca.com|No new procedure being taken against Neymar|There is no new case being taken by the Spanish treasury against Neymar with regards to issues of his tax payments.  The player's agency, NR Sports, have clarified that the tax agency have only requested documents and information related to the already opened… [+767 chars]
Ainhoa Sánchez, Adapted by Conor Clancy|Atletico Madrid hope to repeat previous Juventus draw|José A. GarcíaMARCA  Atletico Madrid return to Turin this week where they need to hold onto their first leg advantage to eliminate Juventus and progress to the quarter-finals of the Champions League.  Their 2-0 advantage has them comfortably placed and Diego … [+743 chars]
Redacción MARCA|"Ronaldo y Roberto Carlos, sobre Cristo: ""Es muy bueno, vamos a decirle de qué va esto"""|"Ronaldo y Roberto Carlos, sobre Cristo: ""Es muy bueno, vamos a hablar con él para que sepa de qué va esto...""  Real Madrid TV  Las cámaras de Real Madrid TV captaron un diálogo entre dos leyendas como Ronaldo y Roberto Carlos en el que pusieron por las nubes … [+897 chars]"
Alejandro Segura, Adapted by Panos Kostopoulos|Stuani becomes Girona's all-time top scorer|Cristhian Stuani  Marti ArtalejoMARCA  With his goal against Valencia on Sunday, Girona striker Cristhian Stuani has reached 38 goals in 59 games for the Catalan club, to become the highest scorer in their history.  The Uruguayan has surpassed two club legend… [+255 chars]
EFE|Official: F1 will give an extra point to the fastest lap in the top 10|Jerry Andre  The FIA approved a proposal on Monday for a new measure to be applied from this weekend's Grand Prix in Australia, awarding a point to the driver with the fastest lap provided they finish in the top 10.  There will also be a bonus point for the t… [+793 chars]
Alejandro Segura, Adapted by Oliver French|Barcelona U18s look to reach UEFA Youth League quarter-finals|None
Radio MARCA|Gregorio Manzano: If there's a team in Europe to see out a 2-0 lead, it's Atletico|Gregorio Manzano  Jose A. GarciaMARCA  Former Atletico Madrid coach Gregorio Manzano is backing his previous club to see out their impressive first leg lead in the Champions League last 16 against Juventus.  The Spanish side travel to Turin with a two goal ad… [+1072 chars]
marca.com|Allegri: The match against Atletico Madrid can't be the game of the year|Massimiliano Allegri   Juventus coach Massimiliano Allegri has refused to label the game against Atletico Madrid as the most important of the ongoing season.  The 51-year-old has made clear that it would be disastrous for his team, should they regard the enco… [+1335 chars]
Jesús Izquierdo. Las Palmas|La peor noticia para Mel: Araujo estará dos meses y medio de baja|Amador Lorenzo / MARCA  La maldición de 175 días de Las Palmas con la que acabó Aythami  Sergio Araujo, delantero de la UD Las Palmas, estará unos dos meses y medio de baja, debido al esguince de grado II-III del ligamento colateral externo de la rodilla dere… [+663 chars]
David G Medina, Adapted by Panos Kostopoulos|Godin completes training session and will play against Juventus|Diego Godin  Angel RiveroMARCA  Atletico Madrid defender Diego Godin has returned to training with the rest of the group and made himself available for the game against Juventus.  After training individually on Sunday, Godin is expected to start Tuesday's Cha… [+240 chars]
marca.com|Así es la cuota si Cristiano hace un hat-trick|Champions: Los datos previos del Juventus vs Atletico de Madrido   El Atlético de Madrid es favorito en las apuestas para pasar a los cuartos de final (cuota 1.25) de la Champions League. Los rojiblancos disputan este martes el partido de vuelta de su elimina… [+1861 chars]
marca.com|Allegri to start Bernardeschi over Dybala against Atletico Madrid|Federico Bernardeschi  AFP  Federico Bernardeschi is expected to start Juventus' Champions League game against Atletico Madrid, with Paulo Dybala being dropped to the bench.  In his team's last training prior Tuesday's encounter, Massimiliano Allegri used the… [+201 chars]
marca.com|"Florentino bromea: ""Zidane, que es francés, podría hacer algo con Mbappé"""|"Florentino bromea: ""Zidane, que es francés, podría hacer algo con Mbappé""   Florentino: ""Llega de nuevo al Madrid el mejor entrenador del mundo""  Florentino Pérez abandonó el Bernabéu para acudir directamente a la cena Pirata, el evento anual protagonizado po… [+788 chars]"
marca.com|Neymar aclara que no hay ningún procedimiento del Fisco abierto contra él|Neymar ha salido al paso de las informaciones que aseguraban que la Agencia Tributaria había abierto un proceso de investigación por su prima de renovación con el Barça y su fichaje por el PSG.   La agencia del futbolista NR Sports aclara que la Agencia Tribu… [+940 chars]
